gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cell_type	cluster	pct.diff
TRBC2	0.005727311112947742	-2.625412364986403	0	0.141	1	T cells	8	-0.141
KLRD1	0.03155943441714231	-2.174741446561582	0	0.09	1	NK cells	8	-0.09
NKG7	4.021056728383644e-4	-3.5049836495037963	0.043	0.265	1	NK cells	8	-0.22200000000000003
KLRC1	0.2953794364804877	-0.8105093736694724	0	0.023	1	NK cells	8	-0.023
FCGR3A	0.13221342767643882	-0.7033832387705004	0.064	0.145	1	NK cells	8	-0.08099999999999999
CD14	3.763821130779864e-4	-2.148182408055806	0	0.216	1	monocytes	8	-0.216
FCN1	0.10474827834021352	-0.061713663639086924	0.213	0.375	1	monocytes	8	-0.162
VCAN	0.18906915994604667	0.4665261212314631	0.468	0.382	1	monocytes	8	0.08600000000000002
CD1C	0.38563463186408875	-0.2935230142691371	0	0.016	1	Dendritic cells	8	-0.016
CD1E	0.7976458486064311	-0.021316219222882807	0	0.001	1	Dendritic cells	8	-0.001
FCER1A	0.5083408460433017	-0.24036593992411343	0	0.009	1	Dendritic cells	8	-0.009
MS4A1	0.16900302840928869	-1.4380148020344234	0.021	0.074	1	B cells	8	-0.05299999999999999
CD79A	0.19310640242583332	-0.9412617565653942	0	0.035	1	B cells	8	-0.035
CD79B	0.17830399733204852	-0.9161262331597684	0	0.037	1	B cells	8	-0.037
IGHD	0.4631205606485298	-0.45803061648713955	0	0.011	1	B cells	8	-0.011
HLA-DRA	9.243501301652956e-5	-1.630544888838088	0.17	0.474	1	B cells	8	-0.30399999999999994
JCHAIN	0.859603210480075	-0.8800446113521397	0.021	0.025	1	Plasma cells	8	-0.004
MZB1	0.30050045761207717	-0.8612256286423837	0	0.022	1	Plasma cells	8	-0.022
IGHG1	0.502968718717931	-1.3411628097463997	0	0.009	1	Plasma cells	8	-0.009
CD2	0.3268325072048222	0.2117222415104687	0.138	0.084	1	T cells	9	0.054000000000000006
CD3D	0.04665830111514692	0.8209695407941373	0.241	0.12	1	T cells	9	0.121
TRAC	0.4495044005602268	0.47899409413940375	0.103	0.069	1	T cells	9	0.03399999999999999
TRBC2	0.1358390371734453	0.40515369089912356	0.241	0.14	1	T cells	9	0.10099999999999998
